label,rule,reproduced,extra,reference_total,positions
3nuy,"углерод, сера, фтор",7,0,7,85
3nuy,"углерод, сера, хлор",7,0,7,85
3nuy,"углерод, сера, галогены",7,0,7,85
3nuy,любой тяжёлый атом,7,3,7,85
4a07,любой углерод,9,0,9,85
4a07,углерод и сера,9,0,9,85
4a07,углерод и галогены,9,0,9,85
4a07,"углерод, сера, фтор",9,0,9,85
4a07,"углерод, сера, хлор",9,0,9,85
4a07,"углерод, сера, галогены",9,0,9,85
4a07,любой тяжёлый атом,9,10,9,85
3nus,любой углерод,7,0,7,85
3nus,углерод и сера,7,0,7,85
3nus,углерод и галогены,7,0,7,85
3nus,"углерод, сера, фтор",7,0,7,85
3nus,"углерод, сера, хлор",7,0,7,85
3nus,"углерод, сера, галогены",7,0,7,85
3nus,любой тяжёлый атом,7,2,7,85
2biy,любой углерод,8,0,8,85
2biy,углерод и сера,8,0,8,85
2biy,углерод и галогены,8,0,8,85
2biy,"углерод, сера, фтор",8,0,8,85
2biy,"углерод, сера, хлор",8,0,8,85
2biy,"углерод, сера, галогены",8,0,8,85
2biy,любой тяжёлый атом,8,10,8,85
3nay,любой углерод,19,0,19,85
3nay,углерод и сера,19,0,19,85
3nay,углерод и галогены,19,0,19,85
3nay,"углерод, сера, фтор",19,0,19,85
3nay,"углерод, сера, хлор",19,0,19,85
3nay,"углерод, сера, галогены",19,0,19,85
3nay,любой тяжёлый атом,19,3,19,85
4ct2,любой углерод,9,0,9,85
4ct2,углерод и сера,9,0,9,85
4ct2,углерод и галогены,9,0,9,85
4ct2,"углерод, сера, фтор",9,0,9,85
4ct2,"углерод, сера, хлор",9,0,9,85
4ct2,"углерод, сера, галогены",9,0,9,85
4ct2,любой тяжёлый атом,9,8,9,85
4aw1,любой углерод,9,0,9,85
4aw1,углерод и сера,9,0,9,85
4aw1,углерод и галогены,9,0,9,85
4aw1,"углерод, сера, фтор",9,0,9,85
4aw1,"углерод, сера, хлор",9,0,9,85
4aw1,"углерод, сера, галогены",9,0,9,85
4aw1,любой тяжёлый атом,9,13,9,85
4a06,любой углерод,8,0,8,85
4a06,углерод и сера,8,0,8,85
4a06,углерод и галогены,8,0,8,85
4a06,"углерод, сера, фтор",8,0,8,85
4a06,"углерод, сера, хлор",8,0,8,85
4a06,"углерод, сера, галогены",8,0,8,85
4a06,любой тяжёлый атом,8,12,8,85
3h9o,любой углерод,16,0,16,85
3h9o,углерод и сера,16,0,16,85
3h9o,углерод и галогены,16,0,16,85
3h9o,"углерод, сера, фтор",16,0,16,85
3h9o,"углерод, сера, хлор",16,0,16,85
3h9o,"углерод, сера, галогены",16,0,16,85
3h9o,любой тяжёлый атом,16,1,16,85
3qd4,любой углерод,19,0,19,85
3qd4,углерод и сера,19,0,19,85
3qd4,углерод и галогены,19,0,19,85
3qd4,"углерод, сера, фтор",19,0,19,85
3qd4,"углерод, сера, хлор",19,0,19,85
3qd4,"углерод, сера, галогены",19,0,19,85
3qd4,любой тяжёлый атом,19,3,19,85
1uu7,любой углерод,13,0,13,85
1uu7,углерод и сера,13,0,13,85
1uu7,углерод и галогены,13,0,13,85
1uu7,"углерод, сера, фтор",13,0,13,85
1uu7,"углерод, сера, хлор",13,0,13,85
1uu7,"углерод, сера, галогены",13,0,13,85
1uu7,любой тяжёлый атом,13,4,13,85
3hrc,любой углерод,8,0,8,85
3hrc,углерод и сера,8,0,8,85
3hrc,углерод и галогены,8,0,8,85
3hrc,"углерод, сера, фтор",8,0,8,85
3hrc,"углерод, сера, хлор",8,0,8,85
3hrc,"углерод, сера, галогены",8,0,8,85
3hrc,любой тяжёлый атом,8,10,8,85
4aw1,любой углерод,9,0,9,85
4aw1,углерод и сера,9,0,9,85
4aw1,углерод и галогены,9,0,9,85
4aw1,"углерод, сера, фтор",9,0,9,85
4aw1,"углерод, сера, хлор",9,0,9,85
4aw1,"углерод, сера, галогены",9,0,9,85
4aw1,любой тяжёлый атом,9,13,9,85
2xch,любой углерод,16,0,16,85
2xch,углерод и сера,16,0,16,85
2xch,углерод и галогены,16,0,16,85
2xch,"углерод, сера, фтор",16,0,16,85
2xch,"углерод, сера, хлор",16,0,16,85
2xch,"углерод, сера, галогены",16,0,16,85
2xch,любой тяжёлый атом,16,1,16,85
4rqv,любой углерод,8,0,8,85
4rqv,углерод и сера,8,0,8,85
4rqv,углерод и галогены,8,0,8,85
4rqv,"углерод, сера, фтор",8,0,8,85
4rqv,"углерод, сера, хлор",8,0,8,85
4rqv,"углерод, сера, галогены",8,0,8,85
4rqv,любой тяжёлый атом,8,10,8,85
3ion,любой углерод,18,0,18,85
3ion,углерод и сера,18,0,18,85
3ion,углерод и галогены,18,0,18,85
3ion,"углерод, сера, фтор",18,0,18,85
3ion,"углерод, сера, хлор",18,0,18,85
3ion,"углерод, сера, галогены",18,0,18,85
3ion,любой тяжёлый атом,18,4,18,85
3otu,любой углерод,15,0,15,85
3otu,углерод и сера,15,0,15,85
3otu,углерод и галогены,15,0,15,85
3otu,"углерод, сера, фтор",15,0,15,85
3otu,"углерод, сера, хлор",15,0,15,85
3otu,"углерод, сера, галогены",15,0,15,85
3otu,любой тяжёлый атом,15,4,15,85
3nun,любой углерод,10,0,10,85
3nun,углерод и сера,10,0,10,85
3nun,углерод и галогены,10,0,10,85
3nun,"углерод, сера, фтор",10,0,10,85
3nun,"углерод, сера, хлор",10,0,10,85
3nun,"углерод, сера, галогены",10,0,10,85
3nun,любой тяжёлый атом,10,3,10,85
2r7b,любой углерод,13,0,13,85
2r7b,углерод и сера,13,0,13,85
2r7b,углерод и галогены,13,0,13,85
2r7b,"углерод, сера, фтор",13,0,13,85
2r7b,"углерод, сера, хлор",13,0,13,85
2r7b,"углерод, сера, галогены",13,0,13,85
2r7b,любой тяжёлый атом,13,2,13,85
3nuu,любой углерод,9,0,9,85
3nuu,углерод и сера,9,0,9,85
3nuu,углерод и галогены,9,0,9,85
3nuu,"углерод, сера, фтор",9,0,9,85
3nuu,"углерод, сера, хлор",9,0,9,85
3nuu,"углерод, сера, галогены",9,0,9,85
3nuu,любой тяжёлый атом,9,2,9,85
3rwq,любой углерод,16,0,16,85
3rwq,углерод и сера,16,0,16,85
3rwq,углерод и галогены,16,0,16,85
3rwq,"углерод, сера, фтор",16,0,16,85
3rwq,"углерод, сера, хлор",16,0,16,85
3rwq,"углерод, сера, галогены",16,0,16,85
3rwq,любой тяжёлый атом,16,4,16,85
1okz,любой углерод,16,0,16,85
1okz,углерод и сера,16,0,16,85
1okz,углерод и галогены,16,0,16,85
1okz,"углерод, сера, фтор",16,0,16,85
1okz,"углерод, сера, хлор",16,0,16,85
1okz,"углерод, сера, галогены",16,0,16,85
1okz,любой тяжёлый атом,16,3,16,85
3rwp,любой углерод,17,0,19,85
3rwp,углерод и сера,17,0,19,85
3rwp,углерод и галогены,17,0,19,85
3rwp,"углерод, сера, фтор",19,0,19,85
3rwp,"углерод, сера, хлор",17,0,19,85
3rwp,"углерод, сера, галогены",19,0,19,85
3rwp,любой тяжёлый атом,19,3,19,85
4a06,любой углерод,8,0,8,85
4a06,углерод и сера,8,0,8,85
4a06,углерод и галогены,8,0,8,85
4a06,"углерод, сера, фтор",8,0,8,85
4a06,"углерод, сера, хлор",8,0,8,85
4a06,"углерод, сера, галогены",8,0,8,85
4a06,любой тяжёлый атом,8,12,8,85
2pe0,любой углерод,12,0,12,85
2pe0,углерод и сера,12,0,12,85
2pe0,углерод и галогены,12,0,12,85
2pe0,"углерод, сера, фтор",12,0,12,85
2pe0,"углерод, сера, хлор",12,0,12,85
2pe0,"углерод, сера, галогены",12,0,12,85
2pe0,любой тяжёлый атом,12,2,12,85
3qcq,любой углерод,13,0,13,85
3qcq,углерод и сера,13,0,13,85
3qcq,углерод и галогены,13,0,13,85
3qcq,"углерод, сера, фтор",13,0,13,85
3qcq,"углерод, сера, хлор",13,0,13,85
3qcq,"углерод, сера, галогены",13,0,13,85
3qcq,любой тяжёлый атом,13,6,13,85
3iop,любой углерод,20,0,20,85
3iop,углерод и сера,20,0,20,85
3iop,углерод и галогены,20,0,20,85
3iop,"углерод, сера, фтор",20,0,20,85
3iop,"углерод, сера, хлор",20,0,20,85
3iop,"углерод, сера, галогены",20,0,20,85
3iop,любой тяжёлый атом,20,3,20,85
3nay,любой углерод,21,0,21,85
3nay,углерод и сера,21,0,21,85
3nay,углерод и галогены,21,0,21,85
3nay,"углерод, сера, фтор",21,0,21,85
3nay,"углерод, сера, хлор",21,0,21,85
3nay,"углерод, сера, галогены",21,0,21,85
3nay,любой тяжёлый атом,21,3,21,85
2xck,любой углерод,19,0,19,85
2xck,углерод и сера,19,0,19,85
2xck,углерод и галогены,19,0,19,85
2xck,"углерод, сера, фтор",19,0,19,85
2xck,"углерод, сера, хлор",19,0,19,85
2xck,"углерод, сера, галогены",19,0,19,85
2xck,любой тяжёлый атом,19,1,19,85
3rwp,любой углерод,17,0,19,85
3rwp,углерод и сера,17,0,19,85
3rwp,углерод и галогены,17,0,19,85
3rwp,"углерод, сера, фтор",19,0,19,85
3rwp,"углерод, сера, хлор",17,0,19,85
3rwp,"углерод, сера, галогены",19,0,19,85
3rwp,любой тяжёлый атом,19,3,19,85
3orz,любой углерод,16,0,16,85
3orz,углерод и сера,16,0,16,85
3orz,углерод и галогены,16,0,16,85
3orz,"углерод, сера, фтор",16,0,16,85
3orz,"углерод, сера, хлор",16,0,16,85
3orz,"углерод, сера, галогены",16,0,16,85
3orz,любой тяжёлый атом,16,4,16,85
3orz,любой углерод,16,0,16,85
3orz,углерод и сера,16,0,16,85
3orz,углерод и галогены,16,0,16,85
3orz,"углерод, сера, фтор",16,0,16,85
3orz,"углерод, сера, хлор",16,0,16,85
3orz,"углерод, сера, галогены",16,0,16,85
3orz,любой тяжёлый атом,16,4,16,85
3qd0,любой углерод,17,0,17,85
3qd0,углерод и сера,17,0,17,85
3qd0,углерод и галогены,17,0,17,85
3qd0,"углерод, сера, фтор",17,0,17,85
3qd0,"углерод, сера, хлор",17,0,17,85
3qd0,"углерод, сера, галогены",17,0,17,85
3qd0,любой тяжёлый атом,17,4,17,85
1oky,любой углерод,17,0,17,85
1oky,углерод и сера,17,0,17,85
1oky,углерод и галогены,17,0,17,85
1oky,"углерод, сера, фтор",17,0,17,85
1oky,"углерод, сера, хлор",17,0,17,85
1oky,"углерод, сера, галогены",17,0,17,85
1oky,любой тяжёлый атом,17,3,17,85
1h1w,любой углерод,9,0,9,85
1h1w,углерод и сера,9,0,9,85
1h1w,углерод и галогены,9,0,9,85
1h1w,"углерод, сера, фтор",9,0,9,85
1h1w,"углерод, сера, хлор",9,0,9,85
1h1w,"углерод, сера, галогены",9,0,9,85
1h1w,любой тяжёлый атом,9,9,9,85
1uvr,любой углерод,14,0,14,85
1uvr,углерод и сера,14,0,14,85
1uvr,углерод и галогены,14,0,14,85
1uvr,"углерод, сера, фтор",14,0,14,85
1uvr,"углерод, сера, хлор",14,0,14,85
1uvr,"углерод, сера, галогены",14,0,14,85
1uvr,любой тяжёлый атом,14,4,14,85
3orz,любой углерод,17,0,17,85
3orz,углерод и сера,17,0,17,85
3orz,углерод и галогены,17,0,17,85
3orz,"углерод, сера, фтор",17,0,17,85
3orz,"углерод, сера, хлор",17,0,17,85
3orz,"углерод, сера, галогены",17,0,17,85
3orz,любой тяжёлый атом,17,4,17,85
3qd4,любой углерод,19,0,19,85
3qd4,углерод и сера,19,0,19,85
3qd4,углерод и галогены,19,0,19,85
3qd4,"углерод, сера, фтор",19,0,19,85
3qd4,"углерод, сера, хлор",19,0,19,85
3qd4,"углерод, сера, галогены",19,0,19,85
3qd4,любой тяжёлый атом,19,3,19,85
3qd3,любой углерод,18,0,18,85
3qd3,углерод и сера,18,0,18,85
3qd3,углерод и галогены,18,0,18,85
3qd3,"углерод, сера, фтор",18,0,18,85
3qd3,"углерод, сера, хлор",18,0,18,85
3qd3,"углерод, сера, галогены",18,0,18,85
3qd3,любой тяжёлый атом,18,4,18,85
3qcx,любой углерод,13,0,13,85
3qcx,углерод и сера,13,0,13,85
3qcx,углерод и галогены,13,0,13,85
3qcx,"углерод, сера, фтор",13,0,13,85
3qcx,"углерод, сера, хлор",13,0,13,85
3qcx,"углерод, сера, галогены",13,0,13,85
3qcx,любой тяжёлый атом,13,5,13,85
1h1w,любой углерод,9,0,9,85
1h1w,углерод и сера,9,0,9,85
1h1w,углерод и галогены,9,0,9,85
1h1w,"углерод, сера, фтор",9,0,9,85
1h1w,"углерод, сера, хлор",9,0,9,85
1h1w,"углерод, сера, галогены",9,0,9,85
1h1w,любой тяжёлый атом,9,10,9,85
3nus,любой углерод,7,0,7,85
3nus,углерод и сера,7,0,7,85
3nus,углерод и галогены,7,0,7,85
3nus,"углерод, сера, фтор",7,0,7,85
3nus,"углерод, сера, хлор",7,0,7,85
3nus,"углерод, сера, галогены",7,0,7,85
3nus,любой тяжёлый атом,7,2,7,85
3orz,любой углерод,17,0,17,85
3orz,углерод и сера,17,0,17,85
3orz,углерод и галогены,17,0,17,85
3orz,"углерод, сера, фтор",17,0,17,85
3orz,"углерод, сера, хлор",17,0,17,85
3orz,"углерод, сера, галогены",17,0,17,85
3orz,любой тяжёлый атом,17,4,17,85
3nun,любой углерод,10,0,10,85
3nun,углерод и сера,10,0,10,85
3nun,углерод и галогены,10,0,10,85
3nun,"углерод, сера, фтор",10,0,10,85
3nun,"углерод, сера, хлор",10,0,10,85
3nun,"углерод, сера, галогены",10,0,10,85
3nun,любой тяжёлый атом,10,3,10,85
4rqv,любой углерод,8,0,8,85
4rqv,углерод и сера,8,0,8,85
4rqv,углерод и галогены,8,0,8,85
4rqv,"углерод, сера, фтор",8,0,8,85
4rqv,"углерод, сера, хлор",8,0,8,85
4rqv,"углерод, сера, галогены",8,0,8,85
4rqv,любой тяжёлый атом,8,10,8,85
3orz,любой углерод,16,0,16,85
3orz,углерод и сера,16,0,16,85
3orz,углерод и галогены,16,0,16,85
3orz,"углерод, сера, фтор",16,0,16,85
3orz,"углерод, сера, хлор",16,0,16,85
3orz,"углерод, сера, галогены",16,0,16,85
3orz,любой тяжёлый атом,16,4,16,85
1uu3,любой углерод,17,0,17,85
1uu3,углерод и сера,17,0,17,85
1uu3,углерод и галогены,17,0,17,85
1uu3,"углерод, сера, фтор",17,0,17,85
1uu3,"углерод, сера, хлор",17,0,17,85
1uu3,"углерод, сера, галогены",17,0,17,85
1uu3,любой тяжёлый атом,17,3,17,85
3qcs,любой углерод,12,0,12,85
3qcs,углерод и сера,12,0,12,85
3qcs,углерод и галогены,12,0,12,85
3qcs,"углерод, сера, фтор",12,0,12,85
3qcs,"углерод, сера, хлор",12,0,12,85
3qcs,"углерод, сера, галогены",12,0,12,85
3qcs,любой тяжёлый атом,12,6,12,85
4aw0,любой углерод,9,0,9,85
4aw0,углерод и сера,9,0,9,85
4aw0,углерод и галогены,9,0,9,85
4aw0,"углерод, сера, фтор",9,0,9,85
4aw0,"углерод, сера, хлор",9,0,9,85
4aw0,"углерод, сера, галогены",9,0,9,85
4aw0,любой тяжёлый атом,9,8,9,85
4rqk,любой углерод,8,0,8,85
4rqk,углерод и сера,8,0,8,85
4rqk,углерод и галогены,8,0,8,85
4rqk,"углерод, сера, фтор",8,0,8,85
4rqk,"углерод, сера, хлор",8,0,8,85
4rqk,"углерод, сера, галогены",8,0,8,85
4rqk,любой тяжёлый атом,8,10,8,85
3sc1,любой углерод,13,0,13,85
3sc1,углерод и сера,13,0,13,85
3sc1,углерод и галогены,13,0,13,85
3sc1,"углерод, сера, фтор",13,0,13,85
3sc1,"углерод, сера, хлор",13,0,13,85
3sc1,"углерод, сера, галогены",13,0,13,85
3sc1,любой тяжёлый атом,13,2,13,85
3hrc,любой углерод,8,0,8,85
3hrc,углерод и сера,8,0,8,85
3hrc,углерод и галогены,8,0,8,85
3hrc,"углерод, сера, фтор",8,0,8,85
3hrc,"углерод, сера, хлор",8,0,8,85
3hrc,"углерод, сера, галогены",8,0,8,85
3hrc,любой тяжёлый атом,8,10,8,85
3qd3,любой углерод,18,0,18,85
3qd3,углерод и сера,18,0,18,85
3qd3,углерод и галогены,18,0,18,85
3qd3,"углерод, сера, фтор",18,0,18,85
3qd3,"углерод, сера, хлор",18,0,18,85
3qd3,"углерод, сера, галогены",18,0,18,85
3qd3,любой тяжёлый атом,18,4,18,85
3hrf,любой углерод,10,0,10,85
3hrf,углерод и сера,10,0,10,85
3hrf,углерод и галогены,10,0,10,85
3hrf,"углерод, сера, фтор",10,0,10,85
3hrf,"углерод, сера, хлор",10,0,10,85
3hrf,"углерод, сера, галогены",10,0,10,85
3hrf,любой тяжёлый атом,10,8,10,85
2biy,любой углерод,8,0,8,85
2biy,углерод и сера,8,0,8,85
2biy,углерод и галогены,8,0,8,85
2biy,"углерод, сера, фтор",8,0,8,85
2biy,"углерод, сера, хлор",8,0,8,85
2biy,"углерод, сера, галогены",8,0,8,85
2biy,любой тяжёлый атом,8,11,8,85
4ct1,любой углерод,8,0,8,85
4ct1,углерод и сера,8,0,8,85
4ct1,углерод и галогены,8,0,8,85
4ct1,"углерод, сера, фтор",8,0,8,85
4ct1,"углерод, сера, хлор",8,0,8,85
4ct1,"углерод, сера, галогены",8,0,8,85
4ct1,любой тяжёлый атом,8,9,8,85
2pe1,любой углерод,14,0,14,85
2pe1,углерод и сера,14,0,14,85
2pe1,углерод и галогены,14,0,14,85
2pe1,"углерод, сера, фтор",14,0,14,85
2pe1,"углерод, сера, хлор",14,0,14,85
2pe1,"углерод, сера, галогены",14,0,14,85
2pe1,любой тяжёлый атом,14,3,14,85
1oky,любой углерод,17,0,17,85
1oky,углерод и сера,17,0,17,85
1oky,углерод и галогены,17,0,17,85
1oky,"углерод, сера, фтор",17,0,17,85
1oky,"углерод, сера, хлор",17,0,17,85
1oky,"углерод, сера, галогены",17,0,17,85
1oky,любой тяжёлый атом,17,3,17,85
2pe2,любой углерод,17,0,17,85
2pe2,углерод и сера,17,0,17,85
2pe2,углерод и галогены,17,0,17,85
2pe2,"углерод, сера, фтор",17,0,17,85
2pe2,"углерод, сера, хлор",17,0,17,85
2pe2,"углерод, сера, галогены",17,0,17,85
2pe2,любой тяжёлый атом,17,1,17,85
3qcy,любой углерод,17,0,17,85
3qcy,углерод и сера,17,0,17,85
3qcy,углерод и галогены,17,0,17,85
3qcy,"углерод, сера, фтор",17,0,17,85
3qcy,"углерод, сера, хлор",17,0,17,85
3qcy,"углерод, сера, галогены",17,0,17,85
3qcy,любой тяжёлый атом,17,4,17,85
3orz,любой углерод,16,0,16,85
3orz,углерод и сера,16,0,16,85
3orz,углерод и галогены,16,0,16,85
3orz,"углерод, сера, фтор",16,0,16,85
3orz,"углерод, сера, хлор",16,0,16,85
3orz,"углерод, сера, галогены",16,0,16,85
3orz,любой тяжёлый атом,16,4,16,85
3nuu,любой углерод,9,0,9,85
3nuu,углерод и сера,9,0,9,85
3nuu,углерод и галогены,9,0,9,85
3nuu,"углерод, сера, фтор",9,0,9,85
3nuu,"углерод, сера, хлор",9,0,9,85
3nuu,"углерод, сера, галогены",9,0,9,85
3nuu,любой тяжёлый атом,9,2,9,85
4ct1,любой углерод,8,0,8,85
4ct1,углерод и сера,8,0,8,85
4ct1,углерод и галогены,8,0,8,85
4ct1,"углерод, сера, фтор",8,0,8,85
4ct1,"углерод, сера, хлор",8,0,8,85
4ct1,"углерод, сера, галогены",8,0,8,85
4ct1,любой тяжёлый атом,8,9,8,85
3qd0,любой углерод,17,0,17,85
3qd0,углерод и сера,17,0,17,85
3qd0,углерод и галогены,17,0,17,85
3qd0,"углерод, сера, фтор",17,0,17,85
3qd0,"углерод, сера, хлор",17,0,17,85
3qd0,"углерод, сера, галогены",17,0,17,85
3qd0,любой тяжёлый атом,17,4,17,85
3qcs,любой углерод,12,0,12,85
3qcs,углерод и сера,12,0,12,85
3qcs,углерод и галогены,12,0,12,85
3qcs,"углерод, сера, фтор",12,0,12,85
3qcs,"углерод, сера, хлор",12,0,12,85
3qcs,"углерод, сера, галогены",12,0,12,85
3qcs,любой тяжёлый атом,12,6,12,85
3rcj,любой углерод,15,0,15,85
3rcj,углерод и сера,15,0,15,85
3rcj,углерод и галогены,15,0,15,85
3rcj,"углерод, сера, фтор",15,0,15,85
3rcj,"углерод, сера, хлор",15,0,15,85
3rcj,"углерод, сера, галогены",15,0,15,85
3rcj,любой тяжёлый атом,15,2,15,85
4ct2,любой углерод,9,0,9,85
4ct2,углерод и сера,9,0,9,85
4ct2,углерод и галогены,9,0,9,85
4ct2,"углерод, сера, фтор",9,0,9,85
4ct2,"углерод, сера, хлор",9,0,9,85
4ct2,"углерод, сера, галогены",9,0,9,85
4ct2,любой тяжёлый атом,9,8,9,85
1z5m,любой углерод,16,0,18,85
1z5m,углерод и сера,16,0,18,85
1z5m,углерод и галогены,18,0,18,85
1z5m,"углерод, сера, фтор",16,0,18,85
1z5m,"углерод, сера, хлор",16,0,18,85
1z5m,"углерод, сера, галогены",18,0,18,85
1z5m,любой тяжёлый атом,18,3,18,85
3qcy,любой углерод,17,0,17,85
3qcy,углерод и сера,17,0,17,85
3qcy,углерод и галогены,17,0,17,85
3qcy,"углерод, сера, фтор",17,0,17,85
3qcy,"углерод, сера, хлор",17,0,17,85
3qcy,"углерод, сера, галогены",17,0,17,85
3qcy,любой тяжёлый атом,17,4,17,85
3orz,любой углерод,15,0,15,85
3orz,углерод и сера,15,0,15,85
3orz,углерод и галогены,15,0,15,85
3orz,"углерод, сера, фтор",15,0,15,85
3orz,"углерод, сера, хлор",15,0,15,85
3orz,"углерод, сера, галогены",15,0,15,85
3orz,любой тяжёлый атом,15,5,15,85
3qcq,любой углерод,13,0,13,85
3qcq,углерод и сера,13,0,13,85
3qcq,углерод и галогены,13,0,13,85
3qcq,"углерод, сера, фтор",13,0,13,85
3qcq,"углерод, сера, хлор",13,0,13,85
3qcq,"углерод, сера, галогены",13,0,13,85
3qcq,любой тяжёлый атом,13,6,13,85
5ack,любой углерод,8,0,8,85
5ack,углерод и сера,8,0,8,85
5ack,углерод и галогены,8,0,8,85
5ack,"углерод, сера, фтор",8,0,8,85
5ack,"углерод, сера, хлор",8,0,8,85
5ack,"углерод, сера, галогены",8,0,8,85
5ack,любой тяжёлый атом,8,12,8,85
4xx9,любой углерод,8,0,8,85
4xx9,углерод и сера,8,0,8,85
4xx9,углерод и галогены,8,0,8,85
4xx9,"углерод, сера, фтор",8,0,8,85
4xx9,"углерод, сера, хлор",8,0,8,85
4xx9,"углерод, сера, галогены",8,0,8,85
4xx9,любой тяжёлый атом,8,10,8,85
5ack,любой углерод,8,0,8,85
5ack,углерод и сера,8,0,8,85
5ack,углерод и галогены,8,0,8,85
5ack,"углерод, сера, фтор",8,0,8,85
5ack,"углерод, сера, хлор",8,0,8,85
5ack,"углерод, сера, галогены",8,0,8,85
5ack,любой тяжёлый атом,8,12,8,85
5hkm,любой углерод,12,0,12,85
5hkm,углерод и сера,12,0,12,85
5hkm,углерод и галогены,12,0,12,85
5hkm,"углерод, сера, фтор",12,0,12,85
5hkm,"углерод, сера, хлор",12,0,12,85
5hkm,"углерод, сера, галогены",12,0,12,85
5hkm,любой тяжёлый атом,12,3,12,85
5ho7,любой углерод,7,0,8,85
5ho7,углерод и сера,8,0,8,85
5ho7,углерод и галогены,7,0,8,85
5ho7,"углерод, сера, фтор",8,0,8,85
5ho7,"углерод, сера, хлор",8,0,8,85
5ho7,"углерод, сера, галогены",8,0,8,85
5ho7,любой тяжёлый атом,8,5,8,85
5ho8,любой углерод,13,0,13,85
5ho8,углерод и сера,13,0,13,85
5ho8,углерод и галогены,13,0,13,85
5ho8,"углерод, сера, фтор",13,0,13,85
5ho8,"углерод, сера, хлор",13,0,13,85
5ho8,"углерод, сера, галогены",13,0,13,85
5ho8,любой тяжёлый атом,13,3,13,85
5ho7,любой углерод,7,0,8,85
5ho7,углерод и сера,8,0,8,85
5ho7,углерод и галогены,7,0,8,85
5ho7,"углерод, сера, фтор",8,0,8,85
5ho7,"углерод, сера, хлор",8,0,8,85
5ho7,"углерод, сера, галогены",8,0,8,85
5ho7,любой тяжёлый атом,8,5,8,85
5ho8,любой углерод,13,0,13,85
5ho8,углерод и сера,13,0,13,85
5ho8,углерод и галогены,13,0,13,85
5ho8,"углерод, сера, фтор",13,0,13,85
5ho8,"углерод, сера, хлор",13,0,13,85
5ho8,"углерод, сера, галогены",13,0,13,85
5ho8,любой тяжёлый атом,13,3,13,85
